queuePosition,priority,priorityReason,slug,title,category,importance,status,articleUrl,taskLibraryUrl,unmetStandardGates,heldStandardGates,unknownStandardGates,nextAction,instructionRevisionReviewed,contributorComplete,articleMapped,articleCatalogGate,articleSemanticCertification,taskExampleEvidence,recordedExecution,acceptedExecution,setupSuccess
11,P0,Explicit evidence hold,learn-do-teach-apprentice-model,"Learn, Do, Teach apprentice model",Strategy & Measurement,3,complete,https://blitzmetrics.com/9-triangles-framework-scalable-home-service-businesses/,https://local-service-spotlight.github.io/task-library/?task=learn-do-teach-apprentice-model#task-learn-do-teach-apprentice-model,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the live hub duplicates GCT and DDD and omits the accepted AEC, CID, and SBP triangle labels from Nine Triangles operational version 2026-08-06.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
12,P0,Explicit evidence hold,management-communicate-iterate-delegate,"Management (Communicate, Iterate, Delegate)",Strategy & Measurement,3,complete,https://blitzmetrics.com/9-triangles-framework-scalable-home-service-businesses/,https://local-service-spotlight.github.io/task-library/?task=management-communicate-iterate-delegate#task-management-communicate-iterate-delegate,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the live hub duplicates GCT and DDD and omits the accepted AEC, CID, and SBP triangle labels from Nine Triangles operational version 2026-08-06.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
13,P0,Explicit evidence hold,personal-efficiency-do-delegate-delete,"Personal Efficiency (Do, Delegate, Delete)",Strategy & Measurement,3,complete,https://blitzmetrics.com/9-triangles-framework-scalable-home-service-businesses/,https://local-service-spotlight.github.io/task-library/?task=personal-efficiency-do-delegate-delete#task-personal-efficiency-do-delegate-delete,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the live hub duplicates GCT and DDD and omits the accepted AEC, CID, and SBP triangle labels from Nine Triangles operational version 2026-08-06.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
14,P0,Explicit evidence hold,process-through-content-factory,Process the Thank-You Clip,Thank You Machine,3,complete,https://blitzmetrics.com/thank-you-machine,https://local-service-spotlight.github.io/task-library/?task=process-through-content-factory#task-process-through-content-factory,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the ordinary public URL redirects to /face-socks/ (How to Order Custom Face Socks, post 103160). That gift-ordering recipe does not certify the mapped thank-you video, tagging and paid-test workflows. The canonical video destination needs owner reconciliation; contributor task states are unchanged.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
15,P0,Explicit evidence hold,record-one-minute-thank-you-video,Record a One-Minute Thank-You Video,Thank You Machine,3,complete,https://blitzmetrics.com/thank-you-machine,https://local-service-spotlight.github.io/task-library/?task=record-one-minute-thank-you-video#task-record-one-minute-thank-you-video,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the ordinary public URL redirects to /face-socks/ (How to Order Custom Face Socks, post 103160). That gift-ordering recipe does not certify the mapped thank-you video, tagging and paid-test workflows. The canonical video destination needs owner reconciliation; contributor task states are unchanged.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
16,P0,Explicit evidence hold,run-thank-you-machine-for-every-interaction,Run Thank You Machine for every interaction,Personal Branding,3,complete,https://blitzmetrics.com/thank-you-machine,https://local-service-spotlight.github.io/task-library/?task=run-thank-you-machine-for-every-interaction#task-run-thank-you-machine-for-every-interaction,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the ordinary public URL redirects to /face-socks/ (How to Order Custom Face Socks, post 103160). That gift-ordering recipe does not certify the mapped thank-you video, tagging and paid-test workflows. The canonical video destination needs owner reconciliation; contributor task states are unchanged.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
17,P0,Explicit evidence hold,systematization-content-checklists-software,Systematization (Content → Checklists → Software),Strategy & Measurement,3,complete,https://blitzmetrics.com/9-triangles-framework-scalable-home-service-businesses/,https://local-service-spotlight.github.io/task-library/?task=systematization-content-checklists-software#task-systematization-content-checklists-software,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the live hub duplicates GCT and DDD and omits the accepted AEC, CID, and SBP triangle labels from Nine Triangles operational version 2026-08-06.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
18,P0,Explicit evidence hold,tag-the-person-on-social-media,Tag the Right Person in a Thank-You Post,Thank You Machine,3,complete,https://blitzmetrics.com/thank-you-machine,https://local-service-spotlight.github.io/task-library/?task=tag-the-person-on-social-media#task-tag-the-person-on-social-media,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the ordinary public URL redirects to /face-socks/ (How to Order Custom Face Socks, post 103160). That gift-ordering recipe does not certify the mapped thank-you video, tagging and paid-test workflows. The canonical video destination needs owner reconciliation; contributor task states are unchanged.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
19,P0,Explicit evidence hold,three-pillars-marketing-operations-finance,"Three Pillars (Marketing, Operations, Finance)",Strategy & Measurement,3,complete,https://blitzmetrics.com/9-triangles-framework-scalable-home-service-businesses/,https://local-service-spotlight.github.io/task-library/?task=three-pillars-marketing-operations-finance#task-three-pillars-marketing-operations-finance,,articleCatalogGate;articleSemanticCertification,taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,"Semantic certification held: the live hub duplicates GCT and DDD and omits the accepted AEC, CID, and SBP triangle labels from Nine Triangles operational version 2026-08-06.",pass,pass,pass,hold,hold,unknown,unknown,unknown,unknown
20,P1,Known standard gap,grade-article-using-jennifer,Grade article using Jennifer,Content Factory — Process,5,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
21,P1,Known standard gap,how-to-configure-ga4-with-internal-traffic-filtering,Write or Repair the GA4 Setup Guide,Gaps & Tasks to Create,5,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
22,P1,Known standard gap,how-to-grade-an-article-using-jennifer,Write or Repair the Jennifer Review Guide,Gaps & Tasks to Create,5,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
23,P1,Known standard gap,how-to-install-and-configure-gtm,Write or Repair the Tag Manager Guide,Gaps & Tasks to Create,5,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
24,P1,Known standard gap,install-google-tag-manager-container,Install Google Tag Manager Container,Digital Plumbing,5,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
25,P1,Known standard gap,install-meta-pixel-with-standard-events,Install Meta Pixel With Standard Events,Digital Plumbing,5,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
26,P1,Known standard gap,set-up-ga4-with-internal-traffic-filtering,Set Up GA4 With Internal Traffic Filtering,Digital Plumbing,5,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
27,P1,Known standard gap,process-videos-via-marketscale,Process videos via MarketScale,Content Factory — Process,4,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
28,P1,Known standard gap,how-to-set-up-schema-markup-for-personal-brand-site,Write or Repair the Person Schema Guide,Gaps & Tasks to Create,3,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
29,P1,Known standard gap,how-to-convert-third-person-copy-to-first-person,Write or Repair the First-Person Copy Guide,Gaps & Tasks to Create,2,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
30,P1,Known standard gap,how-to-map-your-seo-tree-from-scratch,Write or Repair the SEO Tree Mapping Guide,Gaps & Tasks to Create,2,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
31,P1,Known standard gap,how-to-process-videos-via-marketscale,Write or Repair the MarketScale Video Guide,Gaps & Tasks to Create,2,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
32,P1,Known standard gap,how-to-run-the-ai-business-audit,Write or Repair the AI Business Audit Guide,Gaps & Tasks to Create,2,gap,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
33,P1,Known standard gap,add-knowledge-capture-to-existing-workflows,Add Knowledge Capture to existing workflows,Knowledge System Maintenance,2,gap,https://blitzmetrics.com/knowledge-system-maintenance,https://local-service-spotlight.github.io/task-library/?task=add-knowledge-capture-to-existing-workflows#task-add-knowledge-capture-to-existing-workflows,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is gap; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
34,P1,Known standard gap,add-last-audited-column-to-definitive-article-guide-status-table,Add Last Audited column to Definitive Article Guide status table,Knowledge System Maintenance,2,gap,https://blitzmetrics.com/knowledge-system-maintenance,https://local-service-spotlight.github.io/task-library/?task=add-last-audited-column-to-definitive-article-guide-status-table#task-add-last-audited-column-to-definitive-article-guide-status-table,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is gap; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
35,P1,Known standard gap,conduct-first-portability-review-of-blog-posting-guidelines,Conduct first portability review of Blog Posting Guidelines,Knowledge System Maintenance,2,gap,https://blitzmetrics.com/knowledge-system-maintenance,https://local-service-spotlight.github.io/task-library/?task=conduct-first-portability-review-of-blog-posting-guidelines#task-conduct-first-portability-review-of-blog-posting-guidelines,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is gap; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
36,P1,Known standard gap,create-knowledge-capture-note-template-and-distribute,Create Knowledge Capture Note template and distribute,Knowledge System Maintenance,2,gap,https://blitzmetrics.com/knowledge-system-maintenance,https://local-service-spotlight.github.io/task-library/?task=create-knowledge-capture-note-template-and-distribute#task-create-knowledge-capture-note-template-and-distribute,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is gap; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
37,P1,Known standard gap,create-shared-location-for-sop-amendment-proposals,Create shared location for task guide Amendment Proposals,Knowledge System Maintenance,2,gap,https://blitzmetrics.com/knowledge-system-maintenance,https://local-service-spotlight.github.io/task-library/?task=create-shared-location-for-sop-amendment-proposals#task-create-shared-location-for-sop-amendment-proposals,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is gap; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
38,P1,Known standard gap,provide-knowledge-capture-note-template,Provide Knowledge Capture Note template,Knowledge System Maintenance,2,gap,https://blitzmetrics.com/knowledge-system-maintenance,https://local-service-spotlight.github.io/task-library/?task=provide-knowledge-capture-note-template#task-provide-knowledge-capture-note-template,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is gap; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
39,P1,Known standard gap,schedule-and-assign-quarterly-auditors,Schedule and assign quarterly auditors,Knowledge System Maintenance,2,gap,https://blitzmetrics.com/knowledge-system-maintenance,https://local-service-spotlight.github.io/task-library/?task=schedule-and-assign-quarterly-auditors#task-schedule-and-assign-quarterly-auditors,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is gap; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
40,P1,Known standard gap,schedule-first-6-month-recursive-review,Schedule first 6-month recursive review,Knowledge System Maintenance,2,gap,https://blitzmetrics.com/knowledge-system-maintenance,https://local-service-spotlight.github.io/task-library/?task=schedule-first-6-month-recursive-review#task-schedule-first-6-month-recursive-review,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is gap; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
41,P1,Known standard gap,schedule-first-quarterly-audit-cycle,Schedule first quarterly audit cycle,Knowledge System Maintenance,2,gap,https://blitzmetrics.com/knowledge-system-maintenance,https://local-service-spotlight.github.io/task-library/?task=schedule-first-quarterly-audit-cycle#task-schedule-first-quarterly-audit-cycle,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is gap; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
42,P1,Known standard gap,set-up-sop-amendment-proposal-tracking-system,Set up task guide Amendment Proposal tracking system,Knowledge System Maintenance,2,gap,https://blitzmetrics.com/knowledge-system-maintenance,https://local-service-spotlight.github.io/task-library/?task=set-up-sop-amendment-proposal-tracking-system#task-set-up-sop-amendment-proposal-tracking-system,contributorComplete;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,The contributor status is gap; finish and review the guide.,pass,unmet,pass,unmet,unknown,unknown,unknown,unknown,unknown
43,P1,Known standard gap,create-dollar-a-day-ad-creatives,Create Dollar a Day ad creatives,Content Factory — Process,5,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
44,P1,Known standard gap,create-social-media-posts-per-platform,Create social media posts per platform,Content Factory — Process,5,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
45,P1,Known standard gap,engage-with-social-comments,Engage with social comments,Content Factory — Promote,5,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
46,P1,Known standard gap,ensure-proper-dns-records,Ensure Proper DNS Records,Digital Plumbing,5,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
47,P1,Known standard gap,ensure-robots-meta-not-blocking-indexing,Ensure Robots Meta Not Blocking Indexing,Digital Plumbing,5,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
48,P1,Known standard gap,extract-15-60-second-clips-from-long-form-video,Extract 15–60 second clips from long-form video,Content Factory — Process,5,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
49,P1,Known standard gap,post-roundup-listicle-content,Post roundup/listicle content,Content Factory — Promote,5,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
50,P1,Known standard gap,post-to-facebook-page,Post to Facebook page,Content Factory — Post,5,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
51,P1,Known standard gap,run-twitter-x-promotion-for-thought-leader-threads,Run Twitter/X promotion for thought leader threads,Dollar a Day Campaigns,5,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
52,P1,Known standard gap,set-wordpress-author-to-correct-person,Set WordPress author to correct person,Content Factory — Post,5,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
53,P1,Known standard gap,batch-record-50-raw-clips-in-one-session,Batch record 50 raw clips in one session,Content Factory — Produce,4,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
54,P1,Known standard gap,capture-client-stories-on-phone,Capture client stories on phone,Content Factory — Produce,4,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
55,P1,Known standard gap,configure-spf-dkim-dmarc-for-deliverability,Configure SPF/DKIM/DMARC for Deliverability,Digital Plumbing,4,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
56,P1,Known standard gap,create-quote-cards-from-strongest-statements,Create quote cards from strongest statements,Content Factory — Process,4,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
57,P1,Known standard gap,create-xml-sitemap-and-reference-in-robots-txt,Create XML Sitemap and Reference in robots.txt,Digital Plumbing,4,needs-work,,,contributorComplete;articleMapped;articleCatalogGate,,articleSemanticCertification;taskExampleEvidence;recordedExecution;acceptedExecution;setupSuccess,No valid canonical article URL is mapped for this task.,pass,unmet,unmet,unmet,unknown,unknown,unknown,unknown,unknown
